Education Level,Specialization,Skills,Certifications,CGPA/Percentage,Recommended Career
Intermediate,Psychology,"MS Office, Python",Mental Health Basics,72,Business Analyst
Master's,Psychology,Marketing,Digital Marketing,83,Clerk
Matric,Psychology,"Data Analysis, Machine Learning",Digital Marketing,76,Marketing Executive
Bachelor's,Business,"Python, Financial Analysis, SQL",Mental Health Basics,73,Software Engineer
Matric,Engineering,Python,Creative Writing,89,Business Analyst
Intermediate,Finance,"Accounting, Communication, Marketing",None,76,Marketing Executive
Intermediate,Psychology,Data Analysis,Mental Health Basics,73,Data Entry Operator
Matric,Commerce,"Accounting, Data Analysis, Counseling",Creative Writing,81,Sales Assistant
Matric,Engineering,Financial Analysis,Mental Health Basics,80,Software Engineer
Master's,Commerce,"Machine Learning, Communication, SQL",Creative Writing,77,Software Engineer
Matric,Psychology,Counseling,None,65,Software Engineer
Bachelor's,Science,Marketing,Mental Health Basics,92,Sales Assistant
Intermediate,Business,"Machine Learning, Financial Analysis, MS Office",Tally ERP,78,Business Analyst
Matric,Science,SQL,CFA Level 1,77,Sales Assistant
Bachelor's,Psychology,"Communication, Machine Learning, Counseling",Tally ERP,68,Business Analyst
Master's,Business,Financial Analysis,Creative Writing,90,Junior Accountant
Bachelor's,Engineering,"SQL, Data Analysis, Counseling",AWS Certified,81,ML Engineer
Intermediate,Business,Counseling,None,66,Clerk
Intermediate,Commerce,Financial Analysis,None,64,Data Entry Operator
Matric,Arts,"Python, Marketing, Data Analysis",Creative Writing,81,Marketing Executive
PhD,Engineering,"Counseling, MS Office, Financial Analysis",Tally ERP,94,Financial Analyst
Bachelor's,Commerce,"SQL, Data Analysis",Mental Health Basics,70,Research Scientist
PhD,Business,"Communication, Machine Learning",Creative Writing,69,Marketing Executive
Intermediate,Business,"Python, Machine Learning, Communication",CFA Level 1,62,Financial Analyst
Master's,Science,Python,Creative Writing,83,Marketing Executive
PhD,Arts,"Machine Learning, MS Office",AWS Certified,74,Financial Analyst
Bachelor's,Arts,"Data Analysis, Counseling, Python",CFA Level 1,66,Clerk
Intermediate,Psychology,"Counseling, Accounting",Digital Marketing,79,Data Entry Operator
Intermediate,Business,"Counseling, Marketing, Data Analysis",Mental Health Basics,61,Data Entry Operator
Matric,Finance,"Financial Analysis, Machine Learning",Tally ERP,77,Junior Accountant
PhD,Business,Data Analysis,Digital Marketing,66,Financial Analyst
PhD,Arts,Machine Learning,Digital Marketing,95,Junior Accountant
PhD,Engineering,"Counseling, Python, Financial Analysis",CFA Level 1,87,Marketing Executive
PhD,Commerce,Accounting,Tally ERP,86,Professor
PhD,Business,"Communication, Data Analysis, Counseling",Mental Health Basics,73,Data Entry Operator
Bachelor's,Finance,"Counseling, Marketing",Google Data Analytics,65,Sales Assistant
Master's,Science,"SQL, Marketing, MS Office",Mental Health Basics,81,ML Engineer
Matric,Science,"Marketing, Accounting, Financial Analysis",Digital Marketing,77,Professor
Master's,Psychology,Financial Analysis,Tally ERP,95,ML Engineer
Intermediate,Business,Machine Learning,Tally ERP,68,ML Engineer
Bachelor's,Commerce,"MS Office, Accounting, Python",Google Data Analytics,93,Business Analyst
Intermediate,Psychology,"Data Analysis, Communication, MS Office",CFA Level 1,90,Business Analyst
Matric,Science,"Marketing, Counseling",CFA Level 1,68,Marketing Executive
PhD,Finance,SQL,Google Data Analytics,77,Data Entry Operator
Matric,Arts,"SQL, Counseling",Tally ERP,65,Marketing Executive
Intermediate,Finance,Accounting,Creative Writing,86,Marketing Executive
Bachelor's,Psychology,"Machine Learning, Accounting",CFA Level 1,62,Clerk
Bachelor's,Psychology,SQL,Tally ERP,71,Software Engineer
Master's,Finance,Marketing,AWS Certified,69,Sales Assistant
Bachelor's,Arts,"Financial Analysis, Machine Learning, Counseling",Tally ERP,66,Clerk
Matric,Business,"Data Analysis, MS Office",CFA Level 1,94,Junior Accountant
Bachelor's,Commerce,Python,AWS Certified,86,Research Scientist
Master's,Science,Accounting,Creative Writing,78,Junior Accountant
PhD,Finance,"Communication, Financial Analysis, Data Analysis",Tally ERP,74,ML Engineer
Matric,Engineering,Machine Learning,Mental Health Basics,91,School Counselor
Master's,Commerce,"SQL, Accounting, MS Office",AWS Certified,64,Research Scientist
PhD,Business,"Machine Learning, Accounting",Tally ERP,87,ML Engineer
Master's,Finance,"Financial Analysis, Python, Counseling",Tally ERP,60,School Counselor
Matric,Science,"MS Office, Financial Analysis, Data Analysis",Google Data Analytics,66,Professor
Intermediate,Business,"Communication, Data Analysis",CFA Level 1,66,Professor
Bachelor's,Arts,Marketing,AWS Certified,94,Clerk
Matric,Computer Science,"Communication, MS Office, Data Analysis",CFA Level 1,87,Clerk
Matric,Arts,"Financial Analysis, Python, SQL",Tally ERP,95,Junior Accountant
Master's,Computer Science,"Machine Learning, Communication",Google Data Analytics,74,School Counselor
PhD,Engineering,"SQL, Financial Analysis, Marketing",None,95,Marketing Executive
Matric,Business,SQL,None,80,Marketing Executive
Intermediate,Business,"Python, Accounting, Communication",Tally ERP,74,ML Engineer
Intermediate,Science,"Python, Communication, Data Analysis",Digital Marketing,72,Junior Accountant
Master's,Science,Machine Learning,None,87,ML Engineer
Matric,Engineering,"Python, Financial Analysis",Creative Writing,67,ML Engineer
Master's,Psychology,"Data Analysis, Marketing, Accounting",Tally ERP,61,Junior Accountant
Intermediate,Engineering,"Accounting, Python, SQL",Mental Health Basics,70,School Counselor
Intermediate,Psychology,Communication,AWS Certified,82,Software Engineer
Master's,Engineering,"Marketing, Data Analysis, Python",Mental Health Basics,67,Professor
Intermediate,Psychology,Data Analysis,Digital Marketing,94,Software Engineer
Intermediate,Finance,"Financial Analysis, Machine Learning",AWS Certified,89,Financial Analyst
Intermediate,Arts,"Machine Learning, Marketing",None,70,Professor
Bachelor's,Engineering,"SQL, Machine Learning, Communication",Digital Marketing,61,Professor
Master's,Arts,Machine Learning,Creative Writing,66,Financial Analyst
PhD,Business,"Data Analysis, MS Office, Financial Analysis",Tally ERP,89,Financial Analyst
Bachelor's,Business,Counseling,Tally ERP,68,Sales Assistant
PhD,Arts,"SQL, Data Analysis",Mental Health Basics,75,Professor
PhD,Science,"Counseling, Data Analysis",AWS Certified,89,Research Scientist
Master's,Arts,"Python, Communication, Data Analysis",Google Data Analytics,91,Junior Accountant
Bachelor's,Psychology,Counseling,AWS Certified,73,Data Entry Operator
Master's,Commerce,Machine Learning,Google Data Analytics,63,Clerk
Intermediate,Science,Marketing,AWS Certified,84,Professor
PhD,Computer Science,SQL,Google Data Analytics,67,School Counselor
Matric,Finance,"Financial Analysis, Accounting",Google Data Analytics,93,Junior Accountant
Matric,Science,SQL,None,90,Software Engineer
Master's,Psychology,"MS Office, Communication, Python",CFA Level 1,89,Software Engineer
PhD,Engineering,"Accounting, Financial Analysis, Python",Mental Health Basics,89,Professor
Bachelor's,Engineering,"Data Analysis, Financial Analysis",Google Data Analytics,72,Software Engineer
Bachelor's,Arts,"Financial Analysis, Machine Learning",Creative Writing,61,Junior Accountant
Master's,Science,Python,Tally ERP,64,Software Engineer
Bachelor's,Science,"Python, Communication",Creative Writing,95,School Counselor
Intermediate,Commerce,"Marketing, Financial Analysis, MS Office",Creative Writing,83,Data Entry Operator
Intermediate,Business,Counseling,Tally ERP,92,Sales Assistant
Master's,Psychology,SQL,AWS Certified,64,Research Scientist
Matric,Psychology,"Data Analysis, MS Office",Digital Marketing,71,Software Engineer
Master's,Science,"Data Analysis, Machine Learning, Python",Mental Health Basics,94,Professor
Bachelor's,Business,"Financial Analysis, Data Analysis, Communication",None,80,ML Engineer
Master's,Science,Machine Learning,None,92,Software Engineer
Master's,Computer Science,"Marketing, Machine Learning",AWS Certified,90,Business Analyst
Bachelor's,Science,"Data Analysis, Communication, MS Office",Tally ERP,74,Sales Assistant
PhD,Science,"Counseling, MS Office, Accounting",None,88,Data Entry Operator
Matric,Computer Science,"SQL, Python",Google Data Analytics,64,Sales Assistant
Matric,Arts,Marketing,Mental Health Basics,79,Clerk
Bachelor's,Psychology,"Accounting, MS Office",Digital Marketing,70,Financial Analyst
Bachelor's,Arts,"Counseling, MS Office",Google Data Analytics,89,Research Scientist
Bachelor's,Business,"Financial Analysis, Communication",Digital Marketing,62,Financial Analyst
PhD,Psychology,"SQL, Machine Learning, Communication",CFA Level 1,85,Junior Accountant
Bachelor's,Computer Science,"Machine Learning, MS Office, Counseling",CFA Level 1,94,Junior Accountant
Matric,Finance,Marketing,Google Data Analytics,82,Data Entry Operator
Matric,Psychology,"Communication, Counseling, SQL",None,65,Professor
Intermediate,Business,"Machine Learning, SQL, Data Analysis",Mental Health Basics,67,Clerk
Matric,Computer Science,"SQL, Machine Learning",CFA Level 1,92,Professor
Intermediate,Engineering,"Machine Learning, MS Office",AWS Certified,67,Software Engineer
Intermediate,Engineering,"Financial Analysis, SQL",CFA Level 1,88,Research Scientist
Matric,Finance,"MS Office, Python",Digital Marketing,65,Software Engineer
Intermediate,Computer Science,"Counseling, Financial Analysis, Machine Learning",CFA Level 1,90,Business Analyst
Bachelor's,Engineering,Communication,CFA Level 1,76,Marketing Executive
Bachelor's,Computer Science,"Data Analysis, Counseling",Tally ERP,79,Clerk
Matric,Engineering,Counseling,CFA Level 1,86,ML Engineer
Intermediate,Finance,Data Analysis,None,60,Financial Analyst
Intermediate,Engineering,Communication,Digital Marketing,63,Software Engineer
Master's,Engineering,"Machine Learning, Counseling",Digital Marketing,70,Financial Analyst
Bachelor's,Engineering,Financial Analysis,Google Data Analytics,82,Professor
Bachelor's,Arts,"Counseling, SQL, Communication",AWS Certified,68,Business Analyst
PhD,Arts,"Communication, Machine Learning",CFA Level 1,64,Junior Accountant
Master's,Finance,"Machine Learning, Python, SQL",Google Data Analytics,65,Business Analyst
Intermediate,Engineering,"Machine Learning, Marketing, Financial Analysis",Mental Health Basics,62,Financial Analyst
Bachelor's,Engineering,Python,Tally ERP,64,Professor
Master's,Engineering,"Financial Analysis, Data Analysis, Accounting",CFA Level 1,78,Financial Analyst
PhD,Business,MS Office,Google Data Analytics,86,Clerk
Matric,Engineering,Data Analysis,Mental Health Basics,81,Research Scientist
Master's,Business,Data Analysis,AWS Certified,91,Junior Accountant
Intermediate,Engineering,"Python, SQL",Digital Marketing,86,Sales Assistant
Intermediate,Business,Data Analysis,Creative Writing,69,Software Engineer
Matric,Finance,"SQL, Communication",AWS Certified,73,Business Analyst
Matric,Business,Counseling,AWS Certified,93,Professor
PhD,Psychology,Marketing,CFA Level 1,91,Marketing Executive
PhD,Business,Data Analysis,Google Data Analytics,61,ML Engineer
Intermediate,Engineering,SQL,AWS Certified,60,Financial Analyst
Master's,Engineering,"Data Analysis, Accounting",Google Data Analytics,73,Marketing Executive
Master's,Commerce,SQL,Creative Writing,91,Marketing Executive
Master's,Arts,"SQL, Counseling, Python",AWS Certified,88,Research Scientist
PhD,Psychology,"Counseling, Marketing, Accounting",AWS Certified,66,Marketing Executive
Master's,Engineering,"MS Office, SQL",Mental Health Basics,71,Marketing Executive
PhD,Science,SQL,CFA Level 1,93,Professor
PhD,Arts,"Counseling, Python, Marketing",CFA Level 1,85,Marketing Executive
Master's,Arts,"Counseling, Data Analysis, MS Office",AWS Certified,70,Research Scientist
Bachelor's,Finance,Marketing,None,90,Data Entry Operator
Matric,Engineering,"Communication, Marketing",Google Data Analytics,78,Marketing Executive
Master's,Science,"Marketing, Data Analysis",CFA Level 1,71,Business Analyst
Matric,Science,Financial Analysis,CFA Level 1,76,Software Engineer
Bachelor's,Arts,"Python, Data Analysis",Mental Health Basics,84,ML Engineer
Intermediate,Arts,"Communication, SQL, Financial Analysis",Tally ERP,78,Sales Assistant
PhD,Finance,"Python, Machine Learning, Financial Analysis",AWS Certified,70,Business Analyst
Bachelor's,Commerce,"Communication, Accounting, Counseling",Tally ERP,90,Software Engineer
Bachelor's,Computer Science,"Machine Learning, MS Office",Tally ERP,91,Junior Accountant
Intermediate,Business,Counseling,Digital Marketing,86,Business Analyst
Intermediate,Arts,"Python, Financial Analysis, Counseling",Digital Marketing,86,Data Entry Operator
Intermediate,Psychology,"MS Office, Counseling, Data Analysis",Digital Marketing,88,Professor
Bachelor's,Finance,"Python, Marketing, Counseling",Digital Marketing,91,School Counselor
Master's,Psychology,Machine Learning,CFA Level 1,82,Research Scientist
PhD,Commerce,"Data Analysis, SQL",Digital Marketing,72,Research Scientist
Intermediate,Business,"Communication, Financial Analysis, Counseling",CFA Level 1,81,Research Scientist
Bachelor's,Computer Science,"Data Analysis, Machine Learning",Google Data Analytics,94,Marketing Executive
Matric,Commerce,Counseling,CFA Level 1,70,ML Engineer
PhD,Arts,"Counseling, Data Analysis",CFA Level 1,95,Business Analyst
Master's,Science,SQL,AWS Certified,62,Software Engineer
Matric,Finance,"SQL, Data Analysis, Communication",CFA Level 1,68,Marketing Executive
PhD,Science,"Marketing, Communication, Financial Analysis",Google Data Analytics,65,Sales Assistant
Matric,Psychology,"Counseling, SQL, Financial Analysis",Mental Health Basics,87,Data Entry Operator
Matric,Commerce,"Financial Analysis, Data Analysis",Mental Health Basics,73,Research Scientist
Matric,Science,"Marketing, Counseling",Creative Writing,70,Professor
PhD,Business,"Accounting, MS Office, Python",AWS Certified,75,Financial Analyst
Master's,Science,"Machine Learning, Financial Analysis, MS Office",Tally ERP,84,Professor
Master's,Computer Science,"Accounting, Python",Digital Marketing,83,Clerk
Master's,Commerce,"SQL, Machine Learning, Counseling",CFA Level 1,68,Clerk
Matric,Psychology,"Accounting, Financial Analysis",None,86,Marketing Executive
Matric,Engineering,"Counseling, Communication",Mental Health Basics,89,School Counselor
PhD,Business,"SQL, Data Analysis, Marketing",Mental Health Basics,76,Financial Analyst
Matric,Science,"Machine Learning, Python",None,65,Data Entry Operator
Bachelor's,Science,Communication,AWS Certified,63,ML Engineer
Intermediate,Computer Science,"SQL, Financial Analysis, MS Office",Digital Marketing,70,Marketing Executive
Master's,Arts,Counseling,None,65,Business Analyst
Bachelor's,Science,"Counseling, Python, Communication",AWS Certified,75,Clerk
Master's,Business,"Machine Learning, Communication, Accounting",None,84,ML Engineer
Bachelor's,Business,Data Analysis,AWS Certified,75,Clerk
Master's,Commerce,"MS Office, Accounting, Financial Analysis",CFA Level 1,60,Sales Assistant
Bachelor's,Commerce,"MS Office, Machine Learning",AWS Certified,74,Data Entry Operator
Bachelor's,Finance,Accounting,AWS Certified,91,Research Scientist
Master's,Commerce,Machine Learning,Mental Health Basics,85,School Counselor
PhD,Engineering,SQL,CFA Level 1,85,Professor
Bachelor's,Engineering,Accounting,AWS Certified,65,Sales Assistant
Intermediate,Arts,Accounting,Google Data Analytics,64,Research Scientist
Matric,Business,"Marketing, Financial Analysis, Data Analysis",CFA Level 1,61,Business Analyst
Master's,Computer Science,MS Office,Digital Marketing,62,Research Scientist
Master's,Engineering,"Machine Learning, Counseling",CFA Level 1,61,Clerk
Matric,Computer Science,Machine Learning,Digital Marketing,88,School Counselor
Intermediate,Business,"Counseling, Python",Digital Marketing,90,Financial Analyst
PhD,Engineering,"Data Analysis, Machine Learning",None,70,Junior Accountant
Bachelor's,Commerce,"Financial Analysis, MS Office",None,93,ML Engineer
PhD,Arts,Counseling,None,61,Clerk
Intermediate,Computer Science,"Accounting, Financial Analysis, Communication",AWS Certified,77,Clerk
Master's,Finance,"Communication, Counseling",Digital Marketing,81,Sales Assistant
Matric,Engineering,Machine Learning,None,64,Financial Analyst
Matric,Commerce,Counseling,Google Data Analytics,81,Clerk
Master's,Psychology,"Counseling, Communication, Machine Learning",Creative Writing,83,Junior Accountant
Matric,Business,"Accounting, SQL, Marketing",CFA Level 1,93,Marketing Executive
Master's,Computer Science,"SQL, Python, Counseling",Google Data Analytics,75,Data Entry Operator
Intermediate,Psychology,Marketing,Digital Marketing,85,School Counselor
PhD,Engineering,"Counseling, SQL",AWS Certified,76,Clerk
Master's,Engineering,"MS Office, Marketing",Mental Health Basics,91,Data Entry Operator
Bachelor's,Psychology,SQL,CFA Level 1,66,Research Scientist
Intermediate,Psychology,"Financial Analysis, Machine Learning",Tally ERP,81,Professor
Matric,Arts,"Data Analysis, Marketing",Google Data Analytics,74,Professor
Bachelor's,Arts,"Counseling, Communication, SQL",Tally ERP,73,Marketing Executive
Bachelor's,Business,Machine Learning,Tally ERP,80,ML Engineer
Matric,Business,Accounting,Mental Health Basics,75,Professor
PhD,Finance,"Accounting, Marketing, SQL",AWS Certified,81,Professor
PhD,Commerce,"Accounting, Financial Analysis",Google Data Analytics,77,Sales Assistant
Master's,Science,"Python, MS Office, Marketing",Mental Health Basics,68,Data Entry Operator
Matric,Science,"Data Analysis, Accounting, Python",AWS Certified,65,Business Analyst
Master's,Commerce,Accounting,Mental Health Basics,82,Clerk
Bachelor's,Arts,"Machine Learning, Accounting",Digital Marketing,78,Clerk
Matric,Science,SQL,CFA Level 1,78,Data Entry Operator
Bachelor's,Computer Science,"Data Analysis, Communication",Creative Writing,78,Business Analyst
Matric,Business,Machine Learning,Mental Health Basics,69,Junior Accountant
Intermediate,Computer Science,"MS Office, Accounting",Mental Health Basics,76,Research Scientist
Bachelor's,Engineering,"SQL, Financial Analysis",None,85,Junior Accountant
Matric,Engineering,"Communication, Counseling, Marketing",Google Data Analytics,91,Sales Assistant
PhD,Commerce,"Communication, Python",Google Data Analytics,75,Financial Analyst
Matric,Commerce,"Marketing, Machine Learning, Data Analysis",Digital Marketing,95,Sales Assistant
Matric,Psychology,Data Analysis,AWS Certified,60,Clerk
PhD,Psychology,Machine Learning,AWS Certified,70,Clerk
Intermediate,Finance,"Communication, Python, SQL",CFA Level 1,72,Financial Analyst
PhD,Science,"Python, Machine Learning, Financial Analysis",AWS Certified,86,Research Scientist
Matric,Computer Science,"Machine Learning, Accounting, MS Office",Mental Health Basics,83,Business Analyst
Bachelor's,Computer Science,"MS Office, Python",Tally ERP,81,Research Scientist
PhD,Engineering,"Data Analysis, Machine Learning, Accounting",Mental Health Basics,75,ML Engineer
PhD,Commerce,"MS Office, Python",None,67,Marketing Executive
Intermediate,Commerce,"Machine Learning, Accounting",None,67,Clerk
Master's,Engineering,"Data Analysis, Accounting",AWS Certified,89,Research Scientist
Bachelor's,Commerce,MS Office,Google Data Analytics,73,Junior Accountant
PhD,Engineering,"MS Office, Communication, Marketing",CFA Level 1,78,Marketing Executive
PhD,Arts,Machine Learning,Tally ERP,90,Research Scientist
Bachelor's,Psychology,Machine Learning,Tally ERP,71,School Counselor
Bachelor's,Engineering,"Counseling, MS Office, Financial Analysis",Mental Health Basics,71,Clerk
Matric,Computer Science,MS Office,Tally ERP,70,Professor
Intermediate,Business,Python,Google Data Analytics,83,Data Entry Operator
PhD,Computer Science,"Machine Learning, SQL, Financial Analysis",Digital Marketing,71,Business Analyst
Bachelor's,Science,"Python, MS Office",Creative Writing,90,Sales Assistant
Bachelor's,Finance,"Marketing, Data Analysis, Financial Analysis",Google Data Analytics,91,Professor
Bachelor's,Finance,"Python, Counseling, Communication",Google Data Analytics,77,Data Entry Operator
Intermediate,Business,Counseling,Google Data Analytics,91,Data Entry Operator
Intermediate,Science,"Machine Learning, SQL",Creative Writing,65,Business Analyst
PhD,Arts,"Machine Learning, Counseling",Google Data Analytics,72,Clerk
Matric,Engineering,Counseling,Mental Health Basics,80,Software Engineer
Bachelor's,Psychology,"Machine Learning, Communication, MS Office",Mental Health Basics,74,School Counselor
Matric,Business,"Counseling, MS Office, Data Analysis",Creative Writing,77,Research Scientist
Matric,Engineering,"Data Analysis, Financial Analysis, MS Office",Mental Health Basics,74,Junior Accountant
Bachelor's,Computer Science,"Accounting, Communication",AWS Certified,66,Financial Analyst
Master's,Engineering,"Financial Analysis, Communication",Digital Marketing,93,Financial Analyst
PhD,Computer Science,"Financial Analysis, Data Analysis, Communication",Mental Health Basics,74,ML Engineer
Intermediate,Finance,"Data Analysis, Marketing",Google Data Analytics,60,ML Engineer
PhD,Arts,"Machine Learning, Counseling",Digital Marketing,90,Professor
Master's,Engineering,Python,Digital Marketing,83,School Counselor
Master's,Business,"Accounting, SQL",None,89,Marketing Executive
PhD,Computer Science,"Marketing, Financial Analysis",AWS Certified,86,Sales Assistant
Matric,Business,"Data Analysis, MS Office, Financial Analysis",None,82,Junior Accountant
PhD,Commerce,"Python, Machine Learning, Accounting",CFA Level 1,61,Marketing Executive
Intermediate,Computer Science,"Financial Analysis, Data Analysis",Google Data Analytics,76,Professor
Matric,Psychology,"Python, MS Office, Counseling",AWS Certified,80,Financial Analyst
Matric,Engineering,"MS Office, SQL",AWS Certified,90,Marketing Executive
PhD,Engineering,"Counseling, Python, Financial Analysis",Creative Writing,82,Research Scientist
PhD,Business,"Data Analysis, MS Office",Tally ERP,84,Clerk
Matric,Science,SQL,Tally ERP,82,Clerk
PhD,Business,"Data Analysis, MS Office",Tally ERP,72,Clerk
Master's,Business,"MS Office, Accounting, Python",Tally ERP,94,Financial Analyst
Master's,Psychology,"Python, Communication",Tally ERP,81,Data Entry Operator
Bachelor's,Finance,Accounting,Google Data Analytics,60,ML Engineer
PhD,Commerce,"Accounting, MS Office, Machine Learning",Digital Marketing,85,Data Entry Operator
Matric,Computer Science,Communication,CFA Level 1,92,Sales Assistant
PhD,Business,"Counseling, SQL",Creative Writing,61,Research Scientist
Master's,Commerce,SQL,Mental Health Basics,69,Software Engineer
Master's,Business,"Financial Analysis, Python, Marketing",Creative Writing,90,Professor
Bachelor's,Psychology,"Python, Marketing, Data Analysis",Digital Marketing,73,Junior Accountant
Matric,Science,Data Analysis,CFA Level 1,64,School Counselor
Master's,Psychology,"Counseling, Communication",None,62,Financial Analyst
Master's,Finance,"Data Analysis, Marketing, Machine Learning",AWS Certified,89,Marketing Executive
Master's,Computer Science,"Accounting, Financial Analysis",Creative Writing,72,Financial Analyst
Matric,Engineering,"Data Analysis, Financial Analysis, Machine Learning",AWS Certified,93,Sales Assistant
Master's,Arts,"Financial Analysis, Machine Learning",Google Data Analytics,81,Financial Analyst
PhD,Finance,"SQL, Data Analysis",Mental Health Basics,91,Research Scientist
Intermediate,Engineering,"Communication, SQL",Creative Writing,76,Sales Assistant
Bachelor's,Business,"Python, Counseling, SQL",Google Data Analytics,74,Business Analyst
Master's,Finance,"Marketing, SQL",Tally ERP,71,Software Engineer
Bachelor's,Engineering,Counseling,Mental Health Basics,89,Data Entry Operator
Matric,Business,"Communication, Accounting",Google Data Analytics,93,Junior Accountant
Master's,Engineering,"Python, Financial Analysis",AWS Certified,68,Software Engineer
Master's,Engineering,"Financial Analysis, SQL",Creative Writing,79,Software Engineer
Intermediate,Computer Science,"Accounting, Communication, Financial Analysis",Google Data Analytics,95,ML Engineer
PhD,Business,MS Office,None,78,Marketing Executive
Matric,Arts,"Financial Analysis, Machine Learning, Marketing",Mental Health Basics,84,Sales Assistant
Master's,Finance,"Accounting, SQL",Creative Writing,66,Junior Accountant
Bachelor's,Science,"MS Office, Counseling, Communication",Mental Health Basics,84,Data Entry Operator
Matric,Arts,Marketing,AWS Certified,77,Junior Accountant
Intermediate,Psychology,Data Analysis,Creative Writing,84,Clerk
PhD,Computer Science,"Machine Learning, Counseling, Communication",Mental Health Basics,91,ML Engineer
Bachelor's,Engineering,Marketing,CFA Level 1,61,Professor
PhD,Finance,"MS Office, Financial Analysis",CFA Level 1,77,Junior Accountant
Bachelor's,Science,"Python, Communication",Digital Marketing,85,Sales Assistant
PhD,Commerce,Counseling,Creative Writing,81,Software Engineer
Master's,Psychology,SQL,None,83,Software Engineer
Master's,Engineering,"Python, Financial Analysis, Communication",AWS Certified,77,Data Entry Operator
Matric,Psychology,"SQL, Data Analysis",Mental Health Basics,90,Junior Accountant
PhD,Computer Science,"Python, Marketing, MS Office",AWS Certified,83,Marketing Executive
Matric,Science,Counseling,Mental Health Basics,86,Software Engineer
PhD,Science,"SQL, Marketing, Python",CFA Level 1,81,Data Entry Operator
Intermediate,Arts,Financial Analysis,None,76,Professor
PhD,Arts,"Accounting, MS Office",Tally ERP,94,Research Scientist
Bachelor's,Business,"Python, Communication, Data Analysis",Google Data Analytics,60,Professor
Bachelor's,Science,Financial Analysis,Google Data Analytics,61,Clerk
PhD,Arts,Accounting,Mental Health Basics,68,Data Entry Operator
Bachelor's,Science,"Marketing, Counseling, Machine Learning",None,68,Professor
Master's,Arts,SQL,CFA Level 1,76,Junior Accountant
PhD,Finance,Data Analysis,Creative Writing,66,Clerk
PhD,Psychology,"MS Office, SQL, Accounting",AWS Certified,86,Clerk
PhD,Finance,Counseling,Mental Health Basics,76,Marketing Executive
PhD,Psychology,"Communication, MS Office",Tally ERP,70,Software Engineer
Bachelor's,Computer Science,"SQL, Python, Financial Analysis",AWS Certified,66,Marketing Executive
Matric,Psychology,"Accounting, Python",AWS Certified,68,Sales Assistant
PhD,Business,Financial Analysis,None,92,Junior Accountant
PhD,Engineering,"Communication, Python, Financial Analysis",None,73,Marketing Executive
Intermediate,Commerce,"Counseling, Python, MS Office",CFA Level 1,95,Research Scientist
Intermediate,Psychology,Marketing,Google Data Analytics,73,Software Engineer
Bachelor's,Psychology,"Communication, Accounting",None,64,Financial Analyst
PhD,Arts,"Data Analysis, Counseling",Creative Writing,90,Sales Assistant
Matric,Engineering,"Marketing, MS Office",Mental Health Basics,94,Business Analyst
Matric,Business,Marketing,None,72,Business Analyst
Master's,Finance,Python,Creative Writing,78,School Counselor
Bachelor's,Finance,Accounting,Mental Health Basics,83,Sales Assistant
Matric,Arts,"Accounting, Python, Data Analysis",AWS Certified,85,Research Scientist
Master's,Science,"Communication, Python",Google Data Analytics,83,Junior Accountant
Master's,Commerce,"Financial Analysis, SQL",CFA Level 1,67,ML Engineer
PhD,Computer Science,MS Office,Mental Health Basics,95,Research Scientist
PhD,Psychology,Machine Learning,Mental Health Basics,71,Sales Assistant
PhD,Psychology,"Python, Counseling",AWS Certified,80,ML Engineer
PhD,Engineering,"Accounting, Python, Financial Analysis",Google Data Analytics,94,Marketing Executive
Matric,Commerce,"Machine Learning, Python, Marketing",Mental Health Basics,93,Sales Assistant
PhD,Computer Science,"Counseling, Financial Analysis",Google Data Analytics,81,School Counselor
PhD,Engineering,"Counseling, Data Analysis",Creative Writing,63,School Counselor
Matric,Commerce,Financial Analysis,CFA Level 1,61,Financial Analyst
Master's,Commerce,Machine Learning,Creative Writing,61,Software Engineer
PhD,Psychology,"Financial Analysis, Counseling, Accounting",Creative Writing,66,Professor
Matric,Science,Communication,AWS Certified,86,Clerk
Matric,Finance,Data Analysis,Google Data Analytics,79,School Counselor
PhD,Psychology,"Communication, Python, Marketing",Digital Marketing,66,School Counselor
PhD,Arts,SQL,Mental Health Basics,63,Data Entry Operator
Intermediate,Engineering,Marketing,CFA Level 1,88,Business Analyst
Bachelor's,Computer Science,"MS Office, Counseling",CFA Level 1,78,School Counselor
PhD,Finance,"Marketing, Data Analysis",None,76,Business Analyst
Matric,Finance,"Financial Analysis, Data Analysis",Google Data Analytics,65,Clerk
Matric,Finance,Accounting,Creative Writing,69,Professor
Bachelor's,Finance,"Accounting, Financial Analysis, Python",CFA Level 1,85,Clerk
Bachelor's,Engineering,"Data Analysis, Counseling",AWS Certified,89,Sales Assistant
Matric,Business,Data Analysis,Tally ERP,71,Financial Analyst
Master's,Science,Counseling,Tally ERP,88,Professor
PhD,Commerce,Communication,Creative Writing,90,Financial Analyst
Intermediate,Computer Science,"Accounting, Python",Creative Writing,86,School Counselor
Matric,Business,"Data Analysis, Marketing",Digital Marketing,94,Marketing Executive
Matric,Arts,"Counseling, MS Office",AWS Certified,63,Clerk
PhD,Science,"Accounting, Data Analysis, Marketing",AWS Certified,90,Data Entry Operator
Intermediate,Engineering,"Marketing, Machine Learning",Google Data Analytics,73,ML Engineer
Bachelor's,Business,"Communication, SQL",Tally ERP,85,Research Scientist
